date_key,year,quarter,month,month_name,week_of_year,day_of_month,day_name,year_quarter,year_month
2014-01-03 00:00:00,2014,1,1,January,1,3,Friday,2014-Q1,2014-01
2014-01-04 00:00:00,2014,1,1,January,1,4,Saturday,2014-Q1,2014-01
2014-01-05 00:00:00,2014,1,1,January,1,5,Sunday,2014-Q1,2014-01
2014-01-06 00:00:00,2014,1,1,January,2,6,Monday,2014-Q1,2014-01
2014-01-07 00:00:00,2014,1,1,January,2,7,Tuesday,2014-Q1,2014-01
2014-01-09 00:00:00,2014,1,1,January,2,9,Thursday,2014-Q1,2014-01
2014-01-10 00:00:00,2014,1,1,January,2,10,Friday,2014-Q1,2014-01
2014-01-11 00:00:00,2014,1,1,January,2,11,Saturday,2014-Q1,2014-01
2014-01-13 00:00:00,2014,1,1,January,3,13,Monday,2014-Q1,2014-01
2014-01-14 00:00:00,2014,1,1,January,3,14,Tuesday,2014-Q1,2014-01
2014-01-15 00:00:00,2014,1,1,January,3,15,Wednesday,2014-Q1,2014-01
2014-01-16 00:00:00,2014,1,1,January,3,16,Thursday,2014-Q1,2014-01
2014-01-18 00:00:00,2014,1,1,January,3,18,Saturday,2014-Q1,2014-01
2014-01-19 00:00:00,2014,1,1,January,3,19,Sunday,2014-Q1,2014-01
2014-01-20 00:00:00,2014,1,1,January,4,20,Monday,2014-Q1,2014-01
2014-01-21 00:00:00,2014,1,1,January,4,21,Tuesday,2014-Q1,2014-01
2014-01-23 00:00:00,2014,1,1,January,4,23,Thursday,2014-Q1,2014-01
2014-01-26 00:00:00,2014,1,1,January,4,26,Sunday,2014-Q1,2014-01
2014-01-27 00:00:00,2014,1,1,January,5,27,Monday,2014-Q1,2014-01
2014-01-28 00:00:00,2014,1,1,January,5,28,Tuesday,2014-Q1,2014-01
2014-01-30 00:00:00,2014,1,1,January,5,30,Thursday,2014-Q1,2014-01
2014-01-31 00:00:00,2014,1,1,January,5,31,Friday,2014-Q1,2014-01
2014-02-01 00:00:00,2014,1,2,February,5,1,Saturday,2014-Q1,2014-02
2014-02-02 00:00:00,2014,1,2,February,5,2,Sunday,2014-Q1,2014-02
2014-02-03 00:00:00,2014,1,2,February,6,3,Monday,2014-Q1,2014-02
2014-02-04 00:00:00,2014,1,2,February,6,4,Tuesday,2014-Q1,2014-02
2014-02-06 00:00:00,2014,1,2,February,6,6,Thursday,2014-Q1,2014-02
2014-02-07 00:00:00,2014,1,2,February,6,7,Friday,2014-Q1,2014-02
2014-02-08 00:00:00,2014,1,2,February,6,8,Saturday,2014-Q1,2014-02
2014-02-11 00:00:00,2014,1,2,February,7,11,Tuesday,2014-Q1,2014-02
2014-02-12 00:00:00,2014,1,2,February,7,12,Wednesday,2014-Q1,2014-02
2014-02-14 00:00:00,2014,1,2,February,7,14,Friday,2014-Q1,2014-02
2014-02-15 00:00:00,2014,1,2,February,7,15,Saturday,2014-Q1,2014-02
2014-02-16 00:00:00,2014,1,2,February,7,16,Sunday,2014-Q1,2014-02
2014-02-17 00:00:00,2014,1,2,February,8,17,Monday,2014-Q1,2014-02
2014-02-18 00:00:00,2014,1,2,February,8,18,Tuesday,2014-Q1,2014-02
2014-02-20 00:00:00,2014,1,2,February,8,20,Thursday,2014-Q1,2014-02
2014-02-21 00:00:00,2014,1,2,February,8,21,Friday,2014-Q1,2014-02
2014-02-22 00:00:00,2014,1,2,February,8,22,Saturday,2014-Q1,2014-02
2014-02-23 00:00:00,2014,1,2,February,8,23,Sunday,2014-Q1,2014-02
2014-02-24 00:00:00,2014,1,2,February,9,24,Monday,2014-Q1,2014-02
2014-02-27 00:00:00,2014,1,2,February,9,27,Thursday,2014-Q1,2014-02
2014-03-01 00:00:00,2014,1,3,March,9,1,Saturday,2014-Q1,2014-03
2014-03-02 00:00:00,2014,1,3,March,9,2,Sunday,2014-Q1,2014-03
2014-03-03 00:00:00,2014,1,3,March,10,3,Monday,2014-Q1,2014-03
2014-03-04 00:00:00,2014,1,3,March,10,4,Tuesday,2014-Q1,2014-03
2014-03-05 00:00:00,2014,1,3,March,10,5,Wednesday,2014-Q1,2014-03
2014-03-07 00:00:00,2014,1,3,March,10,7,Friday,2014-Q1,2014-03
2014-03-10 00:00:00,2014,1,3,March,11,10,Monday,2014-Q1,2014-03
2014-03-11 00:00:00,2014,1,3,March,11,11,Tuesday,2014-Q1,2014-03
2014-03-14 00:00:00,2014,1,3,March,11,14,Friday,2014-Q1,2014-03
2014-03-15 00:00:00,2014,1,3,March,11,15,Saturday,2014-Q1,2014-03
2014-03-16 00:00:00,2014,1,3,March,11,16,Sunday,2014-Q1,2014-03
2014-03-17 00:00:00,2014,1,3,March,12,17,Monday,2014-Q1,2014-03
2014-03-18 00:00:00,2014,1,3,March,12,18,Tuesday,2014-Q1,2014-03
2014-03-19 00:00:00,2014,1,3,March,12,19,Wednesday,2014-Q1,2014-03
2014-03-21 00:00:00,2014,1,3,March,12,21,Friday,2014-Q1,2014-03
