row_id,order_id,date_key,customer_id,product_id,city,state,region,ship_mode,ship_date,shipping_days,discount,quantity,sales,profit,profit_margin_pct,cost
7981,CA-2014-103800,2014-01-03 00:00:00,DP-13000,OFF-PA-10000174,Houston,Texas,Central,Standard Class,2014-01-07 00:00:00,4,0.2,2,16.448,55.512,337.5,-39.064
742,CA-2014-112326,2014-01-04 00:00:00,PO-19195,OFF-BI-10004094,Naperville,Illinois,Central,Standard Class,2014-01-08 00:00:00,4,0.8,2,3.54,-5.487,-155.0,9.027000000000001
741,CA-2014-112326,2014-01-04 00:00:00,PO-19195,OFF-ST-10002743,Naperville,Illinois,Central,Standard Class,2014-01-08 00:00:00,4,0.2,3,272.736,-647.748,-237.5,920.484
740,CA-2014-112326,2014-01-04 00:00:00,PO-19195,OFF-LA-10003223,Naperville,Illinois,Central,Standard Class,2014-01-08 00:00:00,4,0.2,3,11.784,42.717,362.5,-30.933
1760,CA-2014-141817,2014-01-05 00:00:00,MB-18085,OFF-AR-10003478,Philadelphia,Pennsylvania,East,Standard Class,2014-01-12 00:00:00,7,0.2,3,19.536,4.884,25.0,14.652000000000001
7181,CA-2014-106054,2014-01-06 00:00:00,JO-15145,OFF-AR-10002399,Athens,Georgia,South,First Class,2014-01-07 00:00:00,1,0.0,3,12.78,52.398,410.0,-39.618
5328,CA-2014-130813,2014-01-06 00:00:00,LS-17230,OFF-PA-10002005,Los Angeles,California,West,Second Class,2014-01-08 00:00:00,2,0.0,3,19.44,93.312,480.0,-73.872
7481,CA-2014-167199,2014-01-06 00:00:00,ME-17320,OFF-PA-10000955,Henderson,Kentucky,South,Standard Class,2014-01-10 00:00:00,4,0.0,1,6.54,30.084,460.0,-23.544
7479,CA-2014-167199,2014-01-06 00:00:00,ME-17320,TEC-PH-10004539,Henderson,Kentucky,South,Standard Class,2014-01-10 00:00:00,4,0.0,4,755.96,2041.092,270.0,-1285.132
7478,CA-2014-167199,2014-01-06 00:00:00,ME-17320,TEC-PH-10004977,Henderson,Kentucky,South,Standard Class,2014-01-10 00:00:00,4,0.0,2,391.98,1136.742,290.0,-744.762
7477,CA-2014-167199,2014-01-06 00:00:00,ME-17320,OFF-AR-10001662,Henderson,Kentucky,South,Standard Class,2014-01-10 00:00:00,4,0.0,2,5.48,14.796,270.0,-9.315999999999999
7476,CA-2014-167199,2014-01-06 00:00:00,ME-17320,OFF-BI-10004632,Henderson,Kentucky,South,Standard Class,2014-01-10 00:00:00,4,0.0,2,609.98,274.491,45.0,335.48900000000003
7480,CA-2014-167199,2014-01-06 00:00:00,ME-17320,OFF-FA-10001883,Henderson,Kentucky,South,Standard Class,2014-01-10 00:00:00,4,0.0,4,31.12,0.3112,1.0,30.8088
7475,CA-2014-167199,2014-01-06 00:00:00,ME-17320,FUR-CH-10004063,Henderson,Kentucky,South,Standard Class,2014-01-10 00:00:00,4,0.0,9,2573.82,7464.078,290.0,-4890.258
7661,CA-2014-105417,2014-01-07 00:00:00,VS-21820,FUR-FU-10004864,Huntsville,Texas,Central,Standard Class,2014-01-12 00:00:00,5,0.6,3,76.728,-537.096,-700.0,613.824
7662,CA-2014-105417,2014-01-07 00:00:00,VS-21820,OFF-BI-10003708,Huntsville,Texas,Central,Standard Class,2014-01-12 00:00:00,5,0.8,7,10.43,-182.525,-1750.0,192.955
593,CA-2014-135405,2014-01-09 00:00:00,MS-17830,OFF-AR-10004078,Laredo,Texas,Central,Standard Class,2014-01-13 00:00:00,4,0.2,2,9.344,1.168,12.5,8.176
